address;source_location;insn;indent
0x12af;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;PUSH	%R15;
0x12b1;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;PUSH	%R14;
0x12b3;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;PUSH	%R13;
0x12b5;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;PUSH	%R12;
0x12b7;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;PUSH	%RBP;
0x12b8;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;PUSH	%RBX;
0x12b9;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;SUB	$0x78,%RSP;
0x12bd;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;MOV	%RDI,%RAX;
0x12c0;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;VMOVSS	%XMM0,0x4(%RSP);
0x12c6;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;MOV	%FS:0x28,%RDX;
0x12cf;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;MOV	%RDX,0x68(%RSP);
0x12d4;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:61;XOR	%EDX,%EDX;
0x12d6;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$-0x1,0x10(%RSP);
0x12de;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$0,0x14(%RSP);
0x12e6;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$0x1,0x18(%RSP);
0x12ee;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$-0x2,0x1c(%RSP);
0x12f6;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$0,0x20(%RSP);
0x12fe;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$0x2,0x24(%RSP);
0x1306;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$-0x1,0x28(%RSP);
0x130e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$0,0x2c(%RSP);
0x1316;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:65;MOVL	$0x1,0x30(%RSP);
0x131e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$-0x1,0x40(%RSP);
0x1326;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$-0x2,0x44(%RSP);
0x132e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$-0x1,0x48(%RSP);
0x1336;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$0,0x4c(%RSP);
0x133e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$0,0x50(%RSP);
0x1346;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$0,0x54(%RSP);
0x134e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$0x1,0x58(%RSP);
0x1356;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$0x2,0x5c(%RSP);
0x135e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:69;MOVL	$0x1,0x60(%RSP);
0x1366;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;MOV	%RSI,%R14;
0x1369;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;MOV	%RDI,%R13;
0x136c;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;ADD	$0x2a0300,%RAX;
0x1372;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:74;MOV	%RAX,0x8(%RSP);
0x1377;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;LEA	0x10(%RSP),%R15;
0x137c;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;JMP	1418 <sobel_baseline+0x169>;
0x1381;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;CALL	10d0 <sqrt@plt>;  (5) 
0x1386;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:80;JMP	13e9 <sobel_baseline+0x13a>;  (5) 
0x1388;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:82;MOV	%AL,(%R14,%RBP,1);  (5) 
0x138c;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:75;INC	%RBP;  (5) 
0x138f;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:75;CMP	$0xefd,%RBP;  (5) 
0x1396;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:75;JE	1400 <sobel_baseline+0x151>;  (5) 
0x1398;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;LEA	(%RBP,%R13,1),%R12;  (5) 
0x139d;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;MOV	$0x3,%ECX;  (5) 
0x13a2;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;MOV	$0x3,%EDX;  (5) 
0x13a7;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:77;MOV	%R15,%RSI;  (5) 
