address;source_location;insn;indent
0x1276;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:54;MOVZX	(%RDI,%RAX,1),%R8D;  (2) 
0x127b;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:54;IMUL	(%RSI,%RAX,4),%R8D;  (2) 
0x1280;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:54;ADD	%R8D,%R9D;  (2) 
0x1283;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:53;INC	%RAX;  (2) 
0x1286;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:53;CMP	%RAX,%RCX;  (2) 
0x1289;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:53;JNE	1276 <convolve_baseline+0x1b>;  (2) 
0x128b;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:52;INC	%R10;
0x128e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:52;ADD	%RCX,%RDI;
0x1291;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:52;ADD	%R11,%RSI;
0x1294;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:52;CMP	%R10,%RDX;
0x1297;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:52;JE	12ab <convolve_baseline+0x50>;
0x1299;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:53;MOV	$0,%EAX;
0x129e;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:53;TEST	%RCX,%RCX;
0x12a1;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:53;JNE	1276 <convolve_baseline+0x1b>;
0x12a3;/home/zakaria/Desktop/Work/AP/sobel_optimisation/sobel.c:53;JMP	128b <convolve_baseline+0x30>;
